"flnatureza";"nmprimeiro";"nmsegundo";"dscep";"dsdocumento"
2;"Leila";"Cavalcanti";"75806-055";"699.119.972-94"
1;"Isabelle";"Oliveira";"38308-152";"733.484.570-68"
2;"Kauã";"Fernandes";"86037-080";"662.725.384-48"
1;"Ana";"Melo";"86187-110";"706.501.319-75"
1;"Alice";"Pereira";"19100-390";"882.008.950-50"
1;"Mateus";"Ferreira";"83040-520";"794.666.210-68"
2;"Aline";"Carvalho";"82840-430";"801.245.197-25"
2;"Martim";"Cunha";"65066-201";"806.422.037-84"
2;"Luana";"Castro";"37701-426";"194.614.599-80"
1;"Mariana";"Pinto";"72853-150";"592.587.814-06"
2;"Gabriel";"Dias";"13084-075";"567.703.362-60"
2;"Marisa";"Castro";"13470-302";"954.506.784-52"
2;"Daniel";"Cavalcanti";"09770-200";"146.242.947-50"
1;"Leila";"Barbosa";"03136-130";"142.228.162-05"
2;"Matilde";"Almeida";"64016-545";"847.992.387-36"
1;"Leila";"Barros";"51011-440";"904.810.405-01"
1;"Raissa";"Cardoso";"09176-000";"206.765.288-56"
2;"Carlos";"Ribeiro";"69067-631";"288.026.952-02"
2;"Luana";"Azevedo";"70842-540";"859.329.763-30"
1;"Emilly";"Oliveira";"72420-413";"276.992.090-10"
2;"Emily";"Ribeiro";"96077-550";"301.326.469-19"
1;"Giovanna";"Azevedo";"91120-210";"596.389.512-06"
1;"Sofia";"Goncalves";"14405-424";"278.656.268-60"
2;"Luiza";"Lima";"74473-330";"761.895.798-33"
1;"Vitór";"Dias";"29155-100";"358.881.895-29"
2;"Gabrielly";"Cunha";"37030-280";"890.103.991-50"
2;"Alex";"Ferreira";"74961-605";"512.704.486-25"
2;"Douglas";"Rocha";"05790-420";"726.598.655-58"
1;"Luiza";"Rodrigues";"18044-680";"481.766.434-75"
2;"Isabella";"Pinto";"54780-400";"565.231.581-44"
2;"Beatrice";"Alves";"55018-290";"716.931.984-52"
1;"Otávio";"Barbosa";"16203-078";"109.660.608-90"
1;"Diogo";"Santos";"13405-210";"627.908.856-13"
2;"Giovanna";"Souza";"21745-170";"178.310.897-56"
2;"Tomás";"Cavalcanti";"20561-050";"390.473.867-44"
1;"Alice";"Pinto";"72310-506";"795.758.397-06"
2;"Arthur";"Cunha";"13185-267";"341.024.707-60"
2;"Camila";"Oliveira";"12050-060";"668.526.668-67"
1;"Gabriel";"Martins";"09861-170";"363.947.672-71"
1;"Igor";"Barros";"07143-560";"699.116.373-28"
1;"Daniel";"Araujo";"20230-110";"527.184.792-64"
2;"Diogo";"Almeida";"13630-300";"130.951.167-56"
1;"Letícia";"Cunha";"74080-450";"298.425.763-45"
2;"Bianca";"Lima";"73807-665";"618.046.077-97"
2;"Rafael";"Souza";"53429-270";"633.679.049-53"
1;"Kaua";"Cunha";"79640-452";"541.067.662-99"
1;"Kai";"Ferreira";"07082-230";"818.253.936-64"
1;"Kauã";"Costa";"32536-510";"986.843.166-22"
2;"Larissa";"Alves";"21615-010";"848.931.331-87"
2;"Sophia";"Carvalho";"91430-200";"842.116.444-91"
2;"Lara";"Araujo";"13051-112";"971.468.465-04"
1;"Cauã";"Rodrigues";"73814-570";"897.325.349-23"
1;"Kauê";"Fernandes";"08592-070";"289.825.515-73"
1;"Kauan";"Ribeiro";"13218-698";"723.941.537-68"
2;"Carolina";"Pereira";"69029-280";"487.034.700-83"
2;"Carlos";"Castro";"28085-655";"732.194.506-52"
1;"Luiza";"Goncalves";"85869-220";"559.378.424-80"
2;"Carolina";"Almeida";"91751-270";"368.070.193-43"
1;"Davi";"Cavalcanti";"23591-300";"193.206.509-18"
2;"Bruna";"Ferreira";"91040-530";"741.137.335-46"
1;"Otávio";"Rodrigues";"03715-140";"296.097.808-06"
2;"Clara";"Ferreira";"21531-250";"813.757.907-90"
1;"Carlos";"Gomes";"11450-280";"202.396.129-73"
1;"Julia";"Pereira";"40100-390";"404.120.727-42"
1;"Carolina";"Cunha";"88809-230";"931.755.313-34"
1;"Luis";"Barros";"38440-145";"648.174.919-06"
2;"Fernanda";"Barbosa";"90245-181";"664.926.039-82"
2;"Igor";"Souza";"33060-040";"889.567.277-16"
1;"Davi";"Pereira";"69093-153";"134.998.438-89"
1;"Marisa";"Melo";"37701-156";"460.250.190-70"
1;"Samuel";"Goncalves";"32690-740";"516.599.711-10"
1;"Lucas";"Sousa";"55024-145";"331.334.793-26"
1;"Rodrigo";"Correia";"29161-076";"886.027.761-28"
1;"Tiago";"Araujo";"38031-070";"943.235.624-89"
1;"Manuela";"Goncalves";"13272-787";"443.591.451-44"
2;"Gabriel";"Araujo";"60425-570";"881.840.375-38"
1;"Ryan";"Sousa";"17017-383";"524.632.863-50"
1;"Marcos";"Correia";"70256-050";"453.677.715-64"
1;"Júlia";"Goncalves";"05615-060";"911.957.089-98"
2;"Sophia";"Santos";"38413-126";"696.979.503-93"
2;"Luiz";"Oliveira";"14808-578";"338.888.644-02"
2;"Bruna";"Cavalcanti";"23098-062";"536.636.675-53"
1;"Caio";"Pereira";"11085-330";"510.011.153-41"
2;"Sarah";"Goncalves";"04405-090";"284.758.841-80"
1;"Laura";"Fernandes";"13215-560";"606.351.078-80"
2;"Emily";"Azevedo";"13056-435";"136.122.795-80"
2;"Kaua";"Cavalcanti";"38045-370";"228.090.854-98"
2;"Martim";"Rocha";"13610-005";"878.645.455-21"
2;"Ágatha";"Melo";"93285-270";"961.172.319-97"
2;"Carolina";"Pereira";"12910-300";"372.367.907-29"
2;"Giovanna";"Goncalves";"79093-530";"198.039.146-77"
2;"Carla";"Cunha";"58036-399";"525.114.663-92"
1;"Daniel";"Lima";"17207-585";"644.608.920-14"
2;"Vinicius";"Silva";"74935-840";"446.874.183-09"
2;"Lara";"Silva";"66123-610";"297.170.065-80"
1;"Lucas";"Dias";"04634-020";"994.031.915-03"
2;"Kai";"Correia";"44043-250";"120.962.563-64"
1;"Kauã";"Cardoso";"40370-700";"676.228.577-50"
1;"Giovana";"Goncalves";"68020-870";"951.206.139-26"
1;"Cauã";"Araujo";"44021-021";"419.958.477-39"
1;"Luan";"Ferreira";"75712-520";"758.582.630-38"
1;"Anna";"Goncalves";"06539-260";"656.383.447-72"
2;"Vitór";"Pinto";"35501-350";"506.377.688-41"
1;"Eduarda";"Araujo";"44572-050";"960.441.473-98"
1;"Amanda";"Costa";"84020-550";"324.554.684-02"
1;"Estevan";"Rodrigues";"66085-501";"747.604.588-24"
2;"Matilde";"Barbosa";"30210-455";"400.519.086-38"
2;"Gabriel";"Lima";"21940-460";"998.027.448-40"
2;"Mariana";"Barbosa";"89021-230";"617.552.170-64"
2;"Alice";"Alves";"29050-620";"192.062.046-02"
1;"Bruno";"Oliveira";"57025-550";"899.134.643-07"
1;"Enzo";"Gomes";"26445-160";"585.346.533-30"
1;"Otávio";"Melo";"64023-230";"624.938.850-82"
2;"Marina";"Castro";"15998-818";"576.543.236-03"
1;"Thaís";"Rodrigues";"24451-190";"103.356.629-27"
1;"Aline";"Martins";"83508-450";"212.020.837-90"
2;"Emily";"Fernandes";"35301-014";"826.613.603-36"
2;"Melissa";"Rodrigues";"60060-020";"440.065.164-95"
1;"Giovana";"Azevedo";"21825-600";"250.836.679-08"
2;"Ágatha";"Goncalves";"88045-620";"770.746.393-54"
2;"Caio";"Goncalves";"21830-476";"702.418.925-89"
1;"Julian";"Pinto";"24111-190";"278.421.303-02"
1;"João";"Dias";"54762-775";"260.273.628-71"
1;"João";"Almeida";"29101-540";"954.529.326-82"
1;"Davi";"Cunha";"19063-270";"235.547.816-30"
2;"Lara";"Pereira";"09619-100";"792.337.525-93"
1;"Kauan";"Santos";"29153-725";"123.506.372-04"
2;"Eduardo";"Cunha";"66815-480";"976.558.377-08"
2;"Guilherme";"Barbosa";"35030-450";"735.419.015-27"
1;"Davi";"Azevedo";"57046-380";"132.798.447-46"
1;"Livia";"Lima";"69098-080";"900.432.526-30"
2;"Diego";"Lima";"79116-135";"117.579.292-66"
1;"Cauã";"Correia";"83325-580";"263.669.667-96"
2;"Nicolash";"Martins";"09780-580";"134.420.140-77"
2;"Kai";"Cunha";"41235-330";"721.139.932-52"
1;"Breno";"Fernandes";"14403-134";"370.046.436-38"
1;"Emilly";"Carvalho";"26023-240";"103.867.215-56"
2;"Emilly";"Rocha";"32371-250";"161.115.925-30"
1;"Tânia";"Cardoso";"13256-176";"161.569.447-10"
2;"Beatriz";"Barros";"79110-260";"261.417.172-76"
1;"Cauã";"Carvalho";"40436-620";"452.068.054-91"
1;"Livia";"Rocha";"81520-150";"869.390.971-12"
2;"Brenda";"Dias";"74484-719";"140.909.643-26"
2;"Carolina";"Sousa";"55020-040";"364.146.065-45"
1;"Emily";"Santos";"27338-490";"233.174.237-57"
1;"Lucas";"Cunha";"58040-490";"978.454.945-00"
1;"Rodrigo";"Goncalves";"07064-032";"992.731.439-62"
2;"Fábio";"Martins";"26167-450";"369.390.032-90"
1;"Beatriz";"Almeida";"06602-280";"640.332.151-07"
2;"Tomás";"Silva";"60823-730";"655.525.786-51"
1;"Vitor";"Rocha";"22610-020";"238.797.962-11"
1;"Lucas";"Oliveira";"74915-120";"999.044.607-52"
2;"Alice";"Gomes";"29053-100";"866.197.647-20"
1;"Vinícius";"Dias";"77060-308";"928.665.146-53"
2;"Matilde";"Souza";"59133-128";"423.281.263-67"
2;"Eduarda";"Cardoso";"08715-170";"979.676.666-31"
2;"Júlia";"Santos";"75114-400";"869.192.698-80"
1;"Guilherme";"Rodrigues";"93280-310";"406.694.002-11"
1;"Gabriel";"Souza";"41207-310";"906.579.938-91"
1;"Renan";"Souza";"78150-068";"446.732.681-21"
1;"Tiago";"Ferreira";"38701-316";"818.367.084-91"
1;"Eduarda";"Cavalcanti";"27281-630";"932.705.414-81"
1;"Rebeca";"Sousa";"02854-010";"729.066.517-10"
1;"João";"Santos";"83409-415";"357.498.908-30"
1;"Erick";"Dias";"88512-690";"814.793.274-09"
2;"Carla";"Azevedo";"35900-073";"540.247.938-02"
2;"Fernanda";"Goncalves";"15997-329";"776.863.769-07"
2;"Diego";"Lima";"13051-460";"300.412.951-53"
1;"Sophia";"Barbosa";"94190-190";"875.490.202-99"
2;"Paulo";"Pinto";"78976-280";"794.599.469-50"
2;"Kauan";"Silva";"49055-490";"650.311.428-12"
2;"Mariana";"Carvalho";"71575-610";"638.881.696-74"
2;"Miguel";"Santos";"38703-564";"996.828.161-14"
1;"Camila";"Pinto";"92030-285";"365.715.424-80"
2;"Breno";"Cunha";"26177-236";"156.557.766-34"
2;"Ryan";"Rocha";"59106-020";"960.870.092-21"
1;"Julia";"Costa";"79085-141";"413.948.442-04"
1;"Mateus";"Melo";"13310-291";"224.745.177-23"
2;"Murilo";"Pereira";"54705-761";"932.834.369-08"
1;"Luiz";"Ferreira";"90010-200";"199.170.896-32"
1;"Júlio";"Dias";"26495-320";"337.983.902-74"
1;"Melissa";"Barros";"06874-150";"847.135.400-48"
1;"Diogo";"Fernandes";"09962-260";"119.873.650-03"
1;"Melissa";"Azevedo";"29702-710";"709.300.616-75"
2;"Júlia";"Sousa";"90110-200";"618.902.545-50"
1;"Vitór";"Cunha";"83090-030";"523.569.514-31"
1;"Sophia";"Pereira";"07951-100";"751.007.697-85"
1;"Carlos";"Rodrigues";"79321-550";"186.830.627-59"
2;"Leonor";"Goncalves";"29174-750";"507.644.525-33"
1;"Enzo";"Gomes";"80520-350";"775.647.716-23"
2;"Matheus";"Castro";"50690-300";"695.038.387-89"
2;"Nicolas";"Alves";"41204-140";"978.641.707-06"
2;"Kauan";"Rocha";"06110-050";"949.932.753-31"
2;"Mateus";"Fernandes";"58040-494";"354.651.245-63"
1;"Marcos";"Dias";"26376-430";"247.721.909-02"
2;"Felipe";"Silva";"99034-220";"731.394.493-48"
1;"Rafaela";"Souza";"54400-390";"354.020.994-80"
1;"Luana";"Azevedo";"89258-250";"878.716.822-70"
1;"Eduarda";"Azevedo";"60862-180";"213.088.779-19"
1;"Igor";"Barbosa";"32536-330";"299.168.220-50"
1;"Luana";"Castro";"29119-470";"741.599.947-92"
2;"Victor";"Fernandes";"82720-140";"241.544.183-00"
1;"Nicole";"Rodrigues";"79083-564";"289.918.789-97"
1;"Danilo";"Araujo";"18212-483";"928.476.650-80"
2;"Aline";"Barbosa";"89803-224";"576.580.743-73"
1;"Fábio";"Cunha";"72236-219";"476.115.356-33"
2;"Anna";"Fernandes";"74360-490";"644.550.229-61"
2;"Rodrigo";"Castro";"32634-715";"723.634.459-10"
1;"Julia";"Pinto";"21930-100";"391.216.424-00"
2;"Fábio";"Azevedo";"14030-350";"181.380.784-13"
1;"Alex";"Carvalho";"06793-200";"117.750.580-00"
1;"Kauê";"Fernandes";"86702-805";"466.230.591-80"
1;"André";"Sousa";"89231-060";"176.403.939-49"
2;"Camila";"Souza";"37904-194";"748.688.589-12"
2;"Sofia";"Araujo";"25630-140";"533.356.068-41"
2;"Antônio";"Rodrigues";"55297-411";"293.008.061-22"
1;"Livia";"Pinto";"91410-350";"338.338.442-05"
2;"Joao";"Cardoso";"13575-100";"358.088.874-96"
1;"Lucas";"Silva";"42800-020";"883.983.601-27"
1;"Júlia";"Santos";"74952-080";"573.926.064-76"
2;"Isabelle";"Araujo";"72878-303";"446.384.212-37"
2;"Bianca";"Rodrigues";"60810-480";"583.475.859-20"
1;"Felipe";"Souza";"02975-040";"507.294.511-19"
1;"Livia";"Barros";"74930-530";"940.444.169-40"
1;"Emily";"Pinto";"02877-120";"984.083.811-30"
2;"Bruno";"Gomes";"24752-520";"383.820.404-20"
2;"João";"Carvalho";"32046-340";"330.797.834-92"
2;"Bruno";"Carvalho";"08630-565";"929.323.869-13"
2;"Isabelle";"Almeida";"03190-120";"795.952.285-59"
1;"Evelyn";"Dias";"12285-080";"326.527.657-01"
1;"Nicolash";"Sousa";"18110-328";"567.680.938-86"
1;"Emily";"Barros";"86056-015";"442.270.951-82"
1;"Tomás";"Silva";"29173-338";"744.233.233-11"
2;"Isabella";"Melo";"69035-230";"855.880.099-59"
2;"Otávio";"Ferreira";"30870-340";"739.089.543-80"
2;"Aline";"Souza";"13219-075";"441.814.566-41"
1;"Anna";"Lima";"13031-020";"879.669.737-78"
1;"Marisa";"Costa";"54410-180";"236.874.827-07"
2;"Ryan";"Rocha";"02671-070";"375.297.501-60"
1;"Brenda";"Dias";"13203-566";"548.785.814-41"
2;"Giovanna";"Araujo";"58011-205";"575.714.309-68"
2;"Camila";"Ferreira";"15075-270";"646.568.357-14"
2;"Júlia";"Cunha";"70361-751";"895.073.353-66"
1;"Júlio";"Souza";"74972-350";"610.026.494-39"
1;"Beatrice";"Souza";"13502-770";"690.478.872-04"
2;"Leonor";"Almeida";"35030-180";"839.150.786-62"
2;"Vinicius";"Lima";"81460-348";"545.445.563-68"
2;"Fábio";"Souza";"74937-290";"170.289.337-50"
1;"Murilo";"Dias";"14030-310";"693.510.060-77"
2;"Beatriz";"Martins";"29119-625";"279.372.172-78"
1;"Gabriel";"Carvalho";"92130-620";"596.903.125-96"
2;"Vinicius";"Rocha";"20251-190";"373.116.075-74"
2;"Luiza";"Carvalho";"79018-050";"888.407.028-73"
1;"Rebeca";"Silva";"14808-254";"767.418.387-40"
1;"Estevan";"Alves";"78030-298";"560.415.728-70"
1;"Luís";"Santos";"02567-201";"287.744.720-03"
1;"Livia";"Cunha";"89217-600";"739.241.430-56"
1;"Enzo";"Rodrigues";"08345-210";"198.155.087-92"
2;"Daniel";"Rodrigues";"18271-153";"350.998.917-13"
2;"Sophia";"Oliveira";"11704-100";"383.124.262-30"
1;"Ágatha";"Santos";"74554-030";"707.026.296-50"
2;"Leonardo";"Rocha";"69033-530";"117.019.020-01"
1;"Tânia";"Goncalves";"66821-740";"685.800.207-35"
1;"Mateus";"Rodrigues";"04323-240";"376.266.118-96"
2;"Manuela";"Ferreira";"88025-155";"208.413.117-06"
2;"Paulo";"Goncalves";"26515-655";"831.162.690-17"
2;"Alice";"Barros";"91120-610";"830.020.075-44"
2;"João";"Ribeiro";"24472-700";"790.001.696-15"
2;"Victor";"Goncalves";"32215-060";"888.579.967-19"
2;"Rafaela";"Pereira";"22710-675";"247.809.942-09"
1;"Manuela";"Alves";"74370-410";"815.150.023-90"
1;"Marcos";"Alves";"58026-010";"886.338.289-10"
1;"Brenda";"Costa";"54315-100";"448.093.601-72"
1;"Marcos";"Cunha";"69910-550";"753.278.154-20"
2;"Nicole";"Barbosa";"81530-001";"207.890.675-10"
1;"Eduardo";"Castro";"13174-520";"759.606.902-92"
1;"Amanda";"Carvalho";"41741-395";"193.563.016-46"
1;"Gabriela";"Dias";"88815-466";"961.599.451-06"
1;"Tomás";"Dias";"18202-230";"713.707.446-41"
1;"Breno";"Santos";"13340-500";"338.731.599-61"
2;"Matheus";"Rodrigues";"18061-000";"487.903.984-59"
2;"Nicolas";"Silva";"09153-030";"977.780.690-67"
2;"Sophia";"Costa";"07135-210";"116.466.122-13"
1;"Vitória";"Santos";"52031-220";"425.268.294-02"
2;"João";"Oliveira";"35160-213";"326.376.833-68"
1;"Thiago";"Azevedo";"06120-030";"385.861.544-74"
1;"Anna";"Ribeiro";"66013-030";"772.833.260-06"
2;"Melissa";"Alves";"72312-205";"148.330.105-26"
1;"Erick";"Barbosa";"29173-038";"373.219.588-09"
1;"Kaua";"Santos";"13487-241";"657.030.854-89"
2;"Murilo";"Sousa";"95060-020";"373.541.522-93"
1;"Miguel";"Cunha";"02181-095";"845.181.653-30"
2;"Thiago";"Cavalcanti";"45995-602";"215.430.332-37"
2;"Alex";"Almeida";"85912-190";"852.978.250-08"
1;"Arthur";"Souza";"08597-030";"217.246.252-76"
1;"Amanda";"Alves";"39400-341";"174.472.353-26"
2;"Enzo";"Rocha";"88115-645";"440.936.086-87"
1;"Vitor";"Melo";"13344-075";"989.043.632-92"
2;"Leonor";"Melo";"41820-680";"684.400.889-90"
1;"Breno";"Azevedo";"13323-652";"649.217.829-70"
2;"Carla";"Ferreira";"09842-420";"424.417.067-72"
2;"Diego";"Rodrigues";"86181-060";"141.376.782-60"
2;"Clara";"Alves";"07111-100";"351.587.366-00"
1;"Felipe";"Araujo";"86060-085";"159.253.873-84"
1;"Alice";"Barros";"13058-086";"587.993.704-68"
1;"Martim";"Araujo";"09403-470";"555.801.172-64"
1;"Guilherme";"Rocha";"56324-240";"715.426.866-28"
2;"Cauã";"Goncalves";"05815-030";"745.650.038-05"
1;"Carla";"Ribeiro";"66113-066";"221.065.928-09"
2;"Luiza";"Gomes";"38412-070";"470.528.723-15"
1;"Cauã";"Martins";"38706-100";"792.181.849-89"
1;"Nicolas";"Pinto";"35680-547";"701.452.978-10"
2;"Vitória";"Barbosa";"71060-632";"342.315.164-13"
2;"Lucas";"Souza";"97030-010";"689.487.986-93"
2;"Emilly";"Rocha";"72329-565";"685.673.913-34"
2;"Ryan";"Rodrigues";"64055-495";"321.730.882-46"
1;"Samuel";"Ferreira";"59605-355";"868.004.511-00"
1;"Tiago";"Rocha";"93546-660";"369.221.226-74"
1;"Rafael";"Araujo";"27283-060";"561.656.782-54"
1;"Ágatha";"Martins";"78085-265";"778.589.992-49"
2;"Raissa";"Rodrigues";"13025-060";"844.502.637-23"
1;"Lavinia";"Silva";"77006-028";"636.593.728-89"
1;"Martim";"Rocha";"64052-690";"471.079.924-57"
2;"Nicolash";"Santos";"58301-030";"507.404.308-58"
2;"Lavinia";"Rodrigues";"86707-080";"524.008.899-37"
1;"Luiza";"Lima";"82560-290";"254.579.771-53"
2;"Sarah";"Pinto";"70733-040";"114.698.615-77"
1;"Diogo";"Pinto";"44021-150";"217.310.359-85"
2;"Carlos";"Almeida";"71881-604";"723.701.961-90"
1;"Rafael";"Silva";"38020-180";"706.150.914-74"
2;"Evelyn";"Pereira";"08571-840";"903.688.762-33"
1;"Manuela";"Almeida";"74975-090";"539.771.806-81"
2;"Ágatha";"Ferreira";"06534-125";"770.044.556-70"
1;"Alice";"Sousa";"13040-100";"297.693.917-94"
2;"Júlio";"Pinto";"12402-180";"313.290.257-84"
1;"Marisa";"Goncalves";"13801-171";"265.018.925-89"
2;"Mariana";"Martins";"74940-520";"990.269.700-30"
1;"Davi";"Cardoso";"13343-802";"973.722.865-06"
1;"Fernanda";"Ribeiro";"07062-002";"334.452.630-86"
1;"Vinícius";"Cunha";"08690-715";"234.227.891-89"
1;"Beatriz";"Goncalves";"32240-100";"637.338.349-09"
2;"Guilherme";"Dias";"70843-080";"129.829.585-89"
2;"Marina";"Rocha";"91240-600";"900.601.528-85"
1;"Douglas";"Fernandes";"02017-003";"449.276.436-46"
1;"Samuel";"Barbosa";"50850-390";"774.838.303-01"
1;"Gabrielly";"Goncalves";"07914-070";"138.727.530-53"
1;"Sophia";"Rodrigues";"15092-220";"539.013.914-36"
2;"Vitor";"Araujo";"72547-421";"295.534.091-05"
1;"Amanda";"Melo";"14080-219";"888.285.677-16"
2;"André";"Rocha";"26475-080";"836.250.479-00"
1;"Erick";"Correia";"14026-250";"562.676.763-07"
2;"Kaua";"Silva";"79042-600";"234.873.519-94"
2;"Isabelle";"Pinto";"18706-440";"427.479.569-11"
2;"Caio";"Oliveira";"66077-625";"189.112.592-33"
1;"Luis";"Correia";"58101-340";"771.438.575-80"
2;"Vitor";"Fernandes";"41230-100";"742.712.302-60"
2;"Yasmin";"Barbosa";"07986-120";"174.209.661-17"
2;"Bruno";"Souza";"06523-235";"671.573.995-12"
2;"Marisa";"Melo";"85504-350";"314.641.718-90"
1;"Vitória";"Cavalcanti";"05868-610";"689.164.933-15"
2;"Beatrice";"Silva";"88309-052";"758.552.747-05"
2;"Julian";"Cunha";"97030-360";"388.506.995-49"
1;"Tomás";"Sousa";"27251-217";"374.054.332-94"
1;"Marina";"Barros";"12286-690";"458.400.399-85"
1;"Martim";"Oliveira";"14784-019";"305.953.201-04"
2;"Julia";"Azevedo";"75800-036";"169.891.537-33"
2;"Vitór";"Souza";"02550-070";"894.031.979-60"
1;"Alex";"Cardoso";"58108-520";"411.822.200-02"
1;"Evelyn";"Gomes";"60745-130";"992.459.841-50"
1;"João";"Lima";"40221-330";"275.287.493-62"
1;"Leonor";"Pereira";"68458-220";"263.447.508-04"
1;"Thaís";"Melo";"50770-140";"974.450.065-40"
1;"Marina";"Carvalho";"71576-165";"346.437.961-20"
1;"Alice";"Santos";"20730-170";"988.884.766-01"
1;"Leonor";"Dias";"55610-280";"868.447.684-00"
1;"Vitória";"Fernandes";"54789-130";"871.414.638-01"
1;"Vitór";"Goncalves";"13073-034";"475.026.805-43"
2;"Bianca";"Rodrigues";"89812-070";"509.076.199-08"
1;"Sarah";"Oliveira";"13343-841";"241.426.421-70"
2;"Felipe";"Araujo";"41305-190";"114.959.990-17"
2;"Rebeca";"Pereira";"53431-430";"729.126.037-06"
1;"Isabella";"Cunha";"04942-140";"982.060.512-10"
1;"Miguel";"Rocha";"74920-220";"716.166.983-90"
2;"Pedro";"Rodrigues";"44022-100";"141.571.034-16"
2;"Kauã";"Lima";"60352-300";"245.104.678-34"
1;"Maria";"Almeida";"04848-090";"486.860.865-78"
2;"Sarah";"Azevedo";"78068-744";"340.358.744-42"
1;"André";"Goncalves";"93544-425";"202.349.956-96"
1;"Kauê";"Melo";"91787-774";"983.389.634-02"
2;"Isabela";"Melo";"59088-480";"532.318.614-38"
2;"Gabrielle";"Martins";"26556-460";"395.891.359-86"
2;"Alex";"Pinto";"34585-500";"718.154.608-22"
2;"Beatrice";"Rodrigues";"49065-390";"617.456.056-22"
2;"Tânia";"Barros";"78125-205";"234.756.366-11"
1;"Alice";"Pinto";"68557-355";"688.138.426-27"
2;"Julieta";"Almeida";"38701-392";"606.850.935-49"
2;"Lara";"Barbosa";"24745-210";"585.354.809-35"
2;"Sophia";"Ribeiro";"59120-680";"811.584.699-69"
1;"Maria";"Cardoso";"29161-710";"745.668.032-95"
1;"Giovanna";"Alves";"31260-240";"672.319.592-29"
2;"Enzo";"Pereira";"07051-011";"882.137.497-15"
1;"Nicole";"Ferreira";"65063-260";"385.286.423-21"
1;"Vitória";"Martins";"13068-225";"912.408.169-87"
1;"Rodrigo";"Melo";"05358-130";"271.841.697-19"
2;"Bruna";"Alves";"26051-390";"329.014.469-06"
2;"Martim";"Santos";"06756-160";"936.612.313-91"
2;"Fábio";"Cunha";"01046-001";"583.747.166-90"
2;"Rafael";"Lima";"44023-510";"596.422.126-25"
2;"Vinícius";"Barros";"29706-390";"496.959.646-80"
2;"Thiago";"Pinto";"29303-310";"713.112.626-87"
1;"Isabela";"Barros";"05882-090";"928.402.222-30"
1;"Ágatha";"Cavalcanti";"65075-230";"464.538.467-80"
1;"Júlio";"Goncalves";"40370-006";"735.047.168-86"
1;"Luiza";"Dias";"24411-350";"444.161.421-70"
2;"Alice";"Ferreira";"96505-180";"828.023.680-52"
2;"Isabella";"Silva";"69077-180";"227.972.377-81"
1;"Paulo";"Barros";"18015-069";"754.380.240-65"
1;"Marisa";"Gomes";"12020-300";"122.697.881-92"
1;"Murilo";"Ribeiro";"40313-135";"172.312.596-26"
1;"Ágatha";"Rodrigues";"40290-440";"934.200.954-90"
2;"Eduarda";"Barros";"72602-411";"613.061.848-43"
2;"Aline";"Cunha";"38440-051";"207.169.682-40"
2;"Raissa";"Sousa";"94445-755";"245.015.732-87"
1;"Kauan";"Fernandes";"54140-600";"871.565.700-05"
1;"Caio";"Sousa";"06326-000";"226.565.703-44"
2;"Murilo";"Lima";"89215-315";"832.210.759-52"
1;"Ana";"Pereira";"02138-016";"525.384.641-70"
2;"Nicolash";"Cunha";"53431-220";"570.868.404-67"
2;"Tiago";"Souza";"25030-590";"736.581.919-70"
2;"Gabriel";"Cunha";"45659-210";"703.454.783-12"
2;"Sarah";"Pereira";"17013-035";"304.483.740-56"
2;"Kai";"Cavalcanti";"25036-540";"210.210.302-10"
2;"Vinícius";"Correia";"12236-830";"849.234.856-98"
2;"Nicole";"Almeida";"60010-830";"392.885.831-90"
2;"Diogo";"Melo";"03986-160";"545.418.395-47"
1;"Eduarda";"Santos";"11505-010";"252.712.419-47"
2;"Nicole";"Goncalves";"89230-440";"298.864.006-84"
1;"Lavinia";"Souza";"58106-343";"636.483.097-81"
2;"Matheus";"Costa";"58050-390";"847.082.110-58"
1;"Kauê";"Ribeiro";"44020-180";"291.316.519-25"
2;"Aline";"Araujo";"86010-690";"275.828.223-23"
2;"Renan";"Barros";"17502-490";"495.444.047-59"
1;"Leonor";"Barros";"01255-090";"717.269.470-84"
2;"Leila";"Alves";"74475-210";"929.994.898-46"
2;"Matheus";"Carvalho";"04306-010";"319.693.186-27"
2;"Victor";"Fernandes";"39802-022";"739.305.575-92"
2;"Luiza";"Cunha";"35171-080";"424.686.773-07"
2;"Emily";"Cunha";"35030-620";"153.428.435-45"
1;"Sarah";"Rocha";"07023-140";"797.444.970-50"
2;"Diogo";"Goncalves";"21330-620";"152.727.649-00"
2;"Igor";"Castro";"57313-140";"361.388.886-69"
1;"Pedro";"Oliveira";"02227-130";"536.571.844-57"
2;"Sofia";"Ferreira";"22795-505";"372.854.225-33"
1;"Renan";"Silva";"74845-520";"274.834.474-00"
1;"Mateus";"Alves";"09161-340";"569.880.669-18"
1;"Sofia";"Carvalho";"70337-010";"185.716.221-83"
2;"Thaís";"Silva";"13611-420";"956.590.588-92"
1;"Tânia";"Oliveira";"89227-680";"827.161.268-95"
2;"Rafael";"Gomes";"18408-520";"283.550.179-78"
1;"Emily";"Rodrigues";"11335-325";"774.151.227-71"
2;"Diogo";"Martins";"83020-360";"669.028.476-06"
2;"Leila";"Cavalcanti";"56903-550";"523.888.690-05"
1;"Luiza";"Pereira";"74363-470";"730.940.804-72"
2;"Luiza";"Gomes";"15046-798";"285.415.981-01"
2;"Sofia";"Araujo";"13301-312";"783.500.601-40"
